,count,mean,std,min,25%,50%,75%,max
renewable_energy_share_pct,760.0,17.989473684210527,16.088621327448024,0.0,5.3,14.1,27.7,82.9
access_to_clean_cooking_pct,760.0,92.78125,16.367351387825988,14.5,95.1,100.0,100.0,100.0
land_area_sq_km,760.0,1268678.9384855265,2769115.723474933,706.0,67345.0,305023.85,798672.5,16376870.0
gdp_per_capita,760.0,12537221.859897507,88530634.31668042,492.63273597639,21809.287512389277,64181.0065232458,251691.7536803295,816291133.239127
fossil_electricity,760.0,206.58068262701363,624.904252251561,0.0,13.512499809265138,49.97999954223633,142.61249923706055,5677.9599609375
nuclear_electricity,760.0,33.40338160987747,108.15244804461811,0.0,0.0,0.0,15.302499771118164,809.4099731445312
energy_per_capita,760.0,44586.629543424904,41888.669490944696,1902.5428466796875,18709.01416015625,32542.2783203125,55763.6962890625,245295.046875
co2_emissions_per_capita,760.0,8.036870825933736,7.139367663544535,0.450583313929743,3.994308435470655,6.155316368325545,9.475957143770401,53.5992587251326
access_to_electricity_pct,760.0,98.90710526315789,3.729659217793005,61.5,99.875,100.0,100.0,100.0
gdp_growth_pct,760.0,2.3672917583139323,4.3546481586000905,-29.9985699155957,1.0780182405579775,2.628468891302525,4.678830301979607,24.6239856364006
population_density,760.0,243.33451177741387,889.4381975393273,2.95920036968095,32.31964480543318,94.84366274778085,202.9991233201905,7965.87849162011
low_carbon_electricity,760.0,109.42463163301888,290.93333684243214,0.0,3.727500021457672,23.35499954223633,64.38249778747559,2856.300048828125
low_carbon_share_energy,760.0,17.181580758010558,17.19422777016811,0.0,3.955599904060364,12.796473979949951,24.62246561050415,86.12635803222656
greenhouse_gas_emissions,760.0,165.45977567987222,544.286889928348,0.1700000017881393,9.617499828338623,39.239999771118164,104.90499877929688,5112.41015625
electricity_demand,760.0,316.53807843547116,897.6088381255298,4.289999961853027,37.982500076293945,82.66500091552734,247.4624938964844,8520.01953125
