country,iso_code,year,renewable_energy_share_pct,access_to_clean_cooking_pct,land_area_sq_km,gdp_per_capita,fossil_electricity,nuclear_electricity,energy_per_capita,co2_emissions_per_capita,access_to_electricity_pct,gdp_growth_pct,population_density,low_carbon_electricity,low_carbon_share_energy,greenhouse_gas_emissions,electricity_demand,Profile_Cluster
United Arab Emirates,ARE,2012,0.1,100.0,71020.0,170844.603114302,106.19000244140624,0.0,143268.296875,25.0303188225095,100.0,4.6832657020049,104.075584342439,0.0199999995529651,0.0058169281110167,71.86000061035156,106.18000030517578,0
United Arab Emirates,ARE,2013,0.1,100.0,71020.0,172220.676089827,109.9000015258789,0.0,144520.03125,25.3545579109196,100.0,4.91847806719888,108.322036046184,0.0900000035762786,0.0196388531476259,74.37000274658203,109.97000122070312,0
United Arab Emirates,ARE,2014,0.1,100.0,71020.0,172006.988078576,116.2300033569336,0.0,137818.3125,24.5815838321273,100.0,4.63288144983127,113.481272880879,0.3100000023841858,0.0698053315281868,78.66999816894531,116.51000213623048,0
United Arab Emirates,ARE,2015,0.1,100.0,71020.0,174543.637055616,127.08000183105467,0.0,140994.875,24.3205333372838,100.0,7.08767348587587,119.75833568009,0.3000000119209289,0.0622212551534175,86.01000213623047,127.37000274658205,0
United Arab Emirates,ARE,2016,0.1,100.0,71020.0,175546.986349893,129.2899932861328,0.0,140575.796875,23.7748451471417,100.0,5.65793329224303,125.8109687412,0.3199999928474426,0.062543399631977,87.5199966430664,130.24000549316406,0
United Arab Emirates,ARE,2017,0.2,100.0,71020.0,168257.957493176,133.82000732421875,0.0,131237.28125,22.1639068763908,100.0,-1.06137661464977,129.867994931005,0.75,0.1537216752767563,90.5999984741211,134.47000122070312,0
United Arab Emirates,ARE,2018,0.3,100.0,71020.0,168587.397842298,134.80999755859375,0.0,121187.640625,20.0375833141554,100.0,1.53716683173516,131.606603773585,1.2000000476837158,0.2631571292877197,91.29000091552734,135.97999572753906,0
United Arab Emirates,ARE,2019,0.7,100.0,71020.0,168939.796957055,134.7899932861328,0.0,129769.296875,20.945786930361,100.0,1.27134240761141,133.001760067587,3.660000085830689,0.7439355850219727,91.38999938964844,138.44000244140625,0
United Arab Emirates,ARE,2020,0.9,100.0,71020.0,154987.353524153,130.5,1.6299999952316284,125363.3125,20.8141058466097,100.0,-8.69342617885171,132.371698113208,6.809999942779541,1.4211684465408323,88.66000366210938,137.27999877929688,0
United Arab Emirates,ARE,2021,1.0,100.0,71020.0,159097.004413089,132.25,10.550000190734863,126734.0234375,20.8269278649571,100.0,4.55278571242283,134.823317375387,16.799999237060547,3.339573621749878,90.22000122070312,149.25999450683594,0
Argentina,ARG,2012,8.6,99.5,2736690.0,16685.4192099986,98.62999725341795,6.400000095367432,22393.107421875,4.47886128746974,99.1,-1.0264204544321,15.4061004351973,37.38999938964844,11.458809852600098,58.77999877929688,143.6300048828125,0
Argentina,ARG,2013,8.9,99.6,2736690.0,16917.9326391585,98.47000122070312,6.210000038146973,23705.74609375,4.53658672333476,99.3,2.40532378079436,15.5598387102668,40.97999954223633,11.716171264648438,58.880001068115234,147.50999450683594,0
Argentina,ARG,2014,9.8,99.7,2736690.0,16323.560966604,98.48999786376952,5.510000228881836,23080.28515625,4.41674615124171,100.0,-2.51261532081394,15.7212073709481,40.04999923706055,11.817449569702148,58.7599983215332,148.39999389648438,0
Argentina,ARG,2015,9.4,99.8,2736690.0,16594.6810374181,103.9499969482422,7.039999961853027,23230.486328125,4.51258701954955,99.7,2.73115982828944,15.8867142423877,41.470001220703125,12.049857139587402,62.02999877929688,154.3800048828125,0
Argentina,ARG,2016,9.4,99.8,2736690.0,16092.7747508315,107.41000366210938,8.279999732971191,22909.21484375,4.4223010437306,99.9,-2.08032784377811,16.0413905118958,39.77000045776367,11.667665481567385,63.56999969482422,156.6999969482422,0
Argentina,ARG,2017,10.4,99.8,2736690.0,16401.1760555592,105.83999633789062,6.090000152587891,22511.015625,4.32102910494897,100.0,2.81850297775918,16.1833799224611,39.77000045776367,11.980589866638184,61.93999862670898,156.07000732421875,0
Argentina,ARG,2018,10.5,99.9,2736690.0,15840.9878454051,104.69000244140624,6.869999885559082,22081.68359375,4.25075806940885,100.0,-2.61739646282038,16.3171137395905,42.09000015258789,12.567667007446287,60.810001373291016,156.33999633789062,0
Argentina,ARG,2019,10.7,99.9,2736690.0,15414.0625722301,96.30999755859376,8.4399995803833,20582.3125,4.07504069344001,100.0,-2.00086100285785,16.4335255363231,43.220001220703125,13.688923835754396,55.47999954223633,150.22000122070312,0
Argentina,ARG,2020,9.8,99.9,2736690.0,13820.8481574103,98.01000213623048,10.010000228881836,19117.82421875,3.72002854932287,100.0,-9.9004848136464,16.5133665121004,46.630001068115234,14.714593887329102,57.09000015258789,149.35000610351562,0
Argentina,ARG,2021,9.2,99.9,2736690.0,15223.4652234788,105.94000244140624,10.170000076293944,20925.615234375,4.09769704597303,100.0,10.4418119882506,16.5573305708721,47.209999084472656,13.605953216552734,62.33000183105469,155.64999389648438,0
Australia,AUS,2012,8.3,100.0,7682300.0,88900.6141386718,220.38999938964844,0.0,67218.1640625,18.1834489375025,100.0,3.95247138119184,2.95920036968095,30.270000457763672,5.399917125701904,187.2400054931641,250.6600036621093,0
Australia,AUS,2013,9.2,100.0,7682300.0,89703.1489231144,214.02999877929688,0.0,66946.4609375,17.5432435542019,100.0,2.65445302592404,3.01057352615753,35.529998779296875,6.172687530517578,181.22000122070312,249.5599975585937,0
Australia,AUS,2014,9.3,100.0,7682300.0,90673.8997957291,214.88999938964844,0.0,66387.7265625,16.8873574131124,100.0,2.60118978187332,3.05581479504836,32.7599983215332,5.662723541259766,181.82000732421875,247.6499938964844,0
Australia,AUS,2015,9.4,100.0,7682300.0,91312.7081190603,218.19000244140625,0.0,66879.3203125,16.8219551608068,100.0,2.16434780647852,3.10011259648803,35.79999923706055,5.955306529998779,185.33999633789065,253.9900054931641,0
Australia,AUS,2016,9.6,100.0,7692020.0,92374.7919001135,216.4900054931641,0.0,66045.6796875,16.8911897350521,100.0,2.75564065529868,3.14493553058884,41.7400016784668,6.785098552703857,184.25,258.2300109863281,0
Australia,AUS,2017,9.9,100.0,7692020.0,92949.8351291861,219.77999877929688,0.0,64778.01953125,16.7209445382487,100.0,2.29331030192918,3.19715601363491,39.18999862670898,6.373468399047852,185.9600067138672,258.9700012207031,0
Australia,AUS,2018,9.8,100.0,7692020.0,94201.526098877,213.13999938964844,0.0,64726.41796875,16.3939979308791,100.0,2.87417039499501,3.24534491589985,49.4900016784668,7.847639083862305,180.8000030517578,262.6300048828125,0
Australia,AUS,2019,10.3,100.0,7692020.0,94856.4241175369,210.63999938964844,0.0,65938.53125,16.1007065925773,100.0,2.19401703622717,3.29365056253104,55.2599983215332,8.407210350036621,178.17999267578125,265.8999938964844,0
Australia,AUS,2020,11.2,100.0,7692020.0,93568.5131977359,200.8699951171875,0.0,61584.2578125,15.3043785143331,100.0,-0.133531904304775,3.33452695130798,64.27999877929688,10.292229652404783,170.30999755859375,265.1499938964844,0
Australia,AUS,2021,12.3,100.0,7692020.0,95312.0004460119,190.17999267578125,0.0,61230.4453125,14.9787241100123,100.0,2.00694844335034,3.33922844714392,77.2699966430664,12.282586097717283,162.0500030517578,267.45001220703125,0
Austria,AUT,2012,34.4,100.0,82520.0,43430.1034247842,17.31999969482422,0.0,49148.72265625,8.18751763791919,100.0,0.628246239479637,102.156943771207,51.33000183105469,34.49824905395508,12.760000228881836,71.44999694824219,0
